Number,Spell,Type,Function,Book,Loc,Snippet
1,Accio,Charm,Summons an object,4: GoF,340811,— both of them swung their wands above their heads and pointed them at their opponent; snape cried : expelliarmus! there was a dazzling flash of scarlet light and lockhart was blasted off his feet : he flew
2,Accio,Charm,Summons an object,4: GoF,340928,"— but it was empty, dumbledore groaned and began to pant, but i had some — wait — aguamenti! said Harry again, pointing his wand at the goblet, once more, for a second,"
3,Accio,Charm,Summons an object,4: GoF,340930,"— geminio! there … that should fool her, … hermione came running downstairs, let’s see, … relashio! the chains clinked and withdrew into the arms of the chair, mrs. cattermole looked just as frightened"
4,Accio,Charm,Summons an object,4: GoF,340932,"— he had seen himself — Harry flung himself out from behind the bush and pulled out his wand, expectopatronum! he yelled, and out of the end of his wand burst, not a shapeless cloud of"
5,Accio,Charm,Summons an object,4: GoF,425174,"— yeah — ron looked around, then directed his wand at a twig on the ground and said, wingardiumleviosa! the twig flew up from the ground, spun through the air as if caught by a gust"
6,Accio,Charm,Summons an object,4: GoF,427515,", a trickle of blood running down his face, no! mrs. weasley moaned, no … riddikulus! riddikulus! riddikulus! crack, dead twins, crack, dead percy, crack, dead Harry … mrs."
7,Accio,Charm,Summons an object,4: GoF,464135,", and granger, minis­ter, … no! black had bewitched them, i saw it immediately, a confundus charm, to judge by their behavior, they seemed to think there was a possibility he was innocent"
8,Accio,Charm,Summons an object,4: GoF,524711,", and she took out her wand, still gripping the back of Harry’s robes with her left hand, alohomora! the window sprang open, how — how —? said black weakly, staring at the hippogriff"
9,Accio,Charm,Summons an object,5: OotP,671784,", and the old snitch on top of his clothes, then he pointed hermione’s wand at the ice, diffindo, it cracked with a sound like a bullet in the silence : the surface of the pool broke"
10,Accio,Charm,Summons an object,5: OotP,707572,", but before she had time to raise her wand, ogden had lifted his own and said firmly, reparo, the pot mended itself instantly, gaunt looked for a moment as though he was going to shout"
11,Accio,Charm,Summons an object,5: OotP,765800,", but the death eaters — frankly, most people! — would have expected you to attack back! expelliarmus is a useful spell, Harry, but the death eaters seem to think it is your signature move"
12,Accio,Charm,Summons an object,5: OotP,777025,", clearly determined to repair the damage, Harry flung himself sideways as neville took aim again and shouted, stupefy! the jet of red light flew right over the death eater’s shoulder and hit a glass-fronted cabinet on"
13,Accio,Charm,Summons an object,5: OotP,814735,", entirely and absolutely, upon the thing that was his only chance, … he raised his wand, accio firebolt! he shouted, Harry waited, every fiber of him hoping, praying, … if it"
14,Accio,Charm,Summons an object,5: OotP,817342,", Harry spat blood out of his mouth, pointed his wand at the falling sidecar, and yelled, confringo! he knew a dreadful, gut-wrenching pang for hedwig as it exploded; the death eater nearest it"
15,Accio,Charm,Summons an object,5: OotP,819980,", Harry told a completely bemused mrs. cattermole, bit unfortunate, really … come on, hermione, … expectopatronum! a silver otter burst from the end of hermione’s wand and swam gracefully through the air to join"
16,Accio,Charm,Summons an object,5: OotP,821902,", Harry told ron and hermione everything that had happened during next morning’s charms lesson ( having first cast the muffliato spell upon those nearest them ), they were both satisfyingly impressed by the way he had wheedled the"
17,Accio,Charm,Summons an object,5: OotP,824994,", hurrying forward to help her, here … she tapped the broken scales with her wand and said, reparo, the girl did not say thank you, but remained rooted to the spot as they passed and"
18,Accio,Charm,Summons an object,5: OotP,824997,", in a very quiet voice, Harry missed the pod, hit the bowl, and shattered it, reparo, he said hastily, poking the pieces with his wand, and the bowl sprang back together again"
19,Accio,Charm,Summons an object,6: HBP,892540,", like, good! said hermione, as Harry set her back on her feet, they both murmured lumos! and their wand tips ignited, hagrid’s face swam through the gloom by the light of the two"
20,Accio,Charm,Summons an object,6: HBP,1017494,", master, forgive me! forgive us all! voldemort began to laugh, he raised his wand, crucio! the death eater on the ground writhed and shrieked; Harry was sure the sound must carry to"
21,Accio,Charm,Summons an object,6: HBP,1023756,", mouthing wordlessly, snape was bearing down upon him, reaching inside his robes, r — r — riddikulus! squeaked neville, there was a noise like a whip crack, snape stumbled; he was wear­ing"
22,Accio,Charm,Summons an object,7: DH,1063966,", of course i’m glad Harry wasn’t cursed! said hermione, clearly stung, but you can’t call that sectumsempra spell good, ginny, look where it’s landed him! and i’d have thought, seeing what this"
23,Accio,Charm,Summons an object,7: DH,1076150,", pinned to the floor, yes, whispered the voice, yesss … hold you … hold you … accio … accio wand … but nothing happened and he needed his hands to try to force the snake from"
24,Accio,Charm,Summons an object,7: DH,1079292,", professor mcgonagall rose to her feet, pointed her wand at the groggy death eater, and said, imperio, amycus got up, walked over to his sister, picked up her wand, then shuffled obediently"
25,Accio,Charm,Summons an object,7: DH,1102543,", ron said quietly, the healer pointed her wand at the door of the janus thickey ward and muttered alohomora, the door swung open and she led the way inside, keeping a firm grasp on gilderoy’s arm"
26,Accio,Charm,Summons an object,7: DH,1121632,", ron snarled, hermione rolled up the sleeves of her gown, flicked her wand, and said, wingardiumleviosa! their feather rose off the desk and hovered about four feet above their heads, oh, well"
27,Accio,Charm,Summons an object,7: DH,1127333,", said fudge comfortably, ludo whipped out his wand, directed it at his own throat, and said sonorus! and then spoke over the roar of sound that was now filling the packed stadium; his voice"
28,Accio,Charm,Summons an object,7: DH,1135029,", said george, and before umbridge could say a word, they raised their wands and said together, accio brooms! Harry heard a loud crash somewhere in the distance, looking to his left he ducked just"
29,Accio,Charm,Summons an object,7: DH,1149338,", said sirius encouragingly, come on, let’s all … let’s all have a drink while we’re waiting, accio butterbeer! he raised his wand as he spoke and half a dozen bottles came flying toward them out"
30,Accio,Charm,Summons an object,7: DH,1149340,", sightless eyes were moving toward the rock : an army of the dead rising from the black water, petrificustotalus! yelled Harry, struggling to cling to the smooth, soaked surface of the island as he pointed"
31,Accio,Charm,Summons an object,7: DH,1158046,", the stench of sweat and blood filling his nose and mouth, hot greedy breath at his throat — petrificustotalus! Harry felt fenrir collapse against him; with a stupendous effort he pushed the werewolf off and onto"
32,Accio,Charm,Summons an object,7: DH,1210822,", to general applause, on an un­suspecting argus filch ); and, perhaps most useful of all, muffliato, a spell that filled the ears of anyone nearby with an unidentifiable buzzing, so that lengthy conversations"
33,Accio,Charm,Summons an object,7: DH,1215650,", we’re starting now! said ron, adding quietly, when she had turned away again, should’ve used muffliato, Harry, no, we shouldn’t! said hermione at once, looking, as she al­ways did"
34,Accio,Charm,Summons an object,7: DH,1238046,", who nodded, rather thicker than one usually sees … quite rigid … ten and a quarter inches … avis! the hornbeam wand let off a blast like a gun, and a number of small, twittering"
35,Expecto Patronum,Charm,Creates a Patronus,3: PoA,261735,"; he had rolled onto his side and was drawing great, rattling breaths that sounded agoniz­ing, aguamenti — aguamenti — aguamenti! the goblet filled and emptied once more, and now dumble­dore’s breathing was fading, his"
36,Expecto Patronum,Charm,Creates a Patronus,3: PoA,261737,"; in his haste to answer slughorn he swallowed too fast, turned purple, and began to choke, anapneo, said slughorn calmly, pointing his wand at belby, whose airway seemed to clear at once,"
37,Expecto Patronum,Charm,Creates a Patronus,3: PoA,261745,": amycus was giggling, enjoying the sport : crucio — crucio — you can’t dance forever, pretty — impedimenta! yelled Harry, his jinx hit amycus in the chest : he gave a piglike squeal of pain"
38,Expecto Patronum,Charm,Creates a Patronus,3: PoA,261781,": crouching as low as he could, he pointed at the middle of the oncoming figures and yelled, impedimenta! the jinx hit the middle death eater in the chest : for a moment the man was absurdly"
39,Expecto Patronum,Charm,Creates a Patronus,3: PoA,261783,": scabior drew his wand, what d’you think you’re playing at, woman? stupefy! she screamed, stupefy! they were no match for her, even though there were four of them against one of her"
40,Expecto Patronum,Charm,Creates a Patronus,3: PoA,261983,"! mine! snape had reached out for it, a horrible expression of dawning comprehension on his face — accio parchment! the map flew up into the air, slipped through snape’s out­stretched fingers, and soared down"
41,Expecto Patronum,Charm,Creates a Patronus,3: PoA,261988,"! moody raised his wand, he opened his mouth; Harry plunged his own hand into his robes — stupefy! there was a blinding flash of red light, and with a great splintering and crashing, the"
42,Expecto Patronum,Charm,Creates a Patronus,3: PoA,262420,"! two masked death eaters stood there, but even before their wands were fully raised, hermione shouted, glisseo! the stairs beneath their feet flattened into a chute and she, Harry, and ron hurtled down"
43,Expecto Patronum,Charm,Creates a Patronus,3: PoA,262425,"? hermione did it, said Harry, he pulled out his wand, tapped his glasses and said, impervius! i think we all ought to try that, said angelina, if we could just keep the"
44,Expecto Patronum,Charm,Creates a Patronus,3: PoA,262872,"? nothing! don’t you lie to me! mrs. weasley pointed her wand at george’s pocket and said, accio! several small, brightly colored objects zoomed out of george’s pocket; he made a grab for them"
45,Expecto Patronum,Charm,Creates a Patronus,3: PoA,262880,"? yelled cedric’s voice, what the hell d’you think you’re doing? and then Harry heard krum’s voice, crucio! the air was suddenly full of cedric’s yells, horrified, Harry be­gan sprinting up his path,"
46,Expecto Patronum,Charm,Creates a Patronus,3: PoA,269059,". … look at it, hermione, … i don’t … oh! he could see it; the fidelius charm must have died with james and lily, the hedge had grown wild in the sixteen years since"
47,Expecto Patronum,Charm,Creates a Patronus,3: PoA,304738,". … you will find that similar powers are needed for this, … brace yourself, now, … legilimens! snape had struck before Harry was ready, before Harry had even begun to summon any force of"
48,Expecto Patronum,Charm,Creates a Patronus,3: PoA,304740,". because they hoodwinked a very powerful magical object! said moody, it would have needed an exceptionally strong confundus charm to bamboozle that goblet into forgetting that only three schools compete in the tournament, … i’m guessing"
49,Expecto Patronum,Charm,Creates a Patronus,3: PoA,304775,". both Harry and ogden yelled no! at the same time; ogden raised his wand and cried, relashio! gaunt was thrown backward, away from his daughter; he tripped over a chair and fell flat"
50,Expecto Patronum,Charm,Creates a Patronus,3: PoA,304782,". but when he put out a hand to push open the gates, he found them chained shut, alohomora! he said confidently, pointing his wand at the pad­lock, but nothing happened, that won’t work"
51,Expecto Patronum,Charm,Creates a Patronus,3: PoA,304827,". constant vigilance! he roared, and the whole class jumped again, now … those three curses — avadakedavra, imperius, and cruciatus — are known as the unforgivable curses, the use of any one of"
52,Expecto Patronum,Charm,Creates a Patronus,3: PoA,304841,". hang on! he shouted, advancing in the wake of his silver patronus, you’re a boggart! riddikulus! there was a loud crack, and the shape-shifter exploded in a wisp of smoke, the silver"
53,Expecto Patronum,Charm,Creates a Patronus,3: PoA,304881,". Harry potter is dead by my hand, and no man alive can threaten me now! watch! crucio! Harry had been expecting it, knew his body would not be allowed to remain unsullied upon the"
54,Expecto Patronum,Charm,Creates a Patronus,3: PoA,304925,". he forced himself to think of black, and only black, and began to chant : expectopatronum! expectopatronum! black gave a shudder, rolled over, and lay motionless on the ground, pale as death"
55,Expecto Patronum,Charm,Creates a Patronus,3: PoA,304999,". he hurried over to ron, bent down, tapped ron’s leg with his wand, and muttered, ferula, bandages spun up ron’s leg, strapping it tightly to a splint, lupin helped him to his"
56,Expecto Patronum,Charm,Creates a Patronus,3: PoA,305134,". he pushed the door : it was locked, hermione pointed her wand at the handle and said, alohomora, there was a click, and the door swung open, they moved over the threshold together,"
57,Expecto Patronum,Charm,Creates a Patronus,3: PoA,312889,". he tugged and tore at them as the brain was pulled tight against him like an octopus’s body, diffindo! yelled Harry, trying to sever the feelers wrapping them­selves tightly around ron before his eyes, but"
58,Expecto Patronum,Charm,Creates a Patronus,4: GoF,510420,". hermione, you’re a genius, a total genius, i can’t believe we got out of that! caveinimicum … didn’t i say it was an erumpent horn, didn’t i tell him? and now his house"
59,Expecto Patronum,Charm,Creates a Patronus,5: OotP,551180,". mundungus scrambled up and pulled out his wand; hermione, however, was too quick for him, expelliarmus! mundungus’s wand soared into the air, and hermione caught it, wild-eyed, mundungus dived for the"
60,Expecto Patronum,Charm,Creates a Patronus,5: OotP,551256,". silencio! the large and ugly raven in front of him let out a derisive caw, silencio! silencio! the raven cawed more loudly, it’s the way you’re moving your wand, said hermione, watching"
61,Expecto Patronum,Charm,Creates a Patronus,5: OotP,551419,". the minuscule writing next to it read neville longbottom, Harry quickly pulled out his wand, muttered, dissendium! and shoved his bag into the statue, but before he could climb in himself, neville came"
62,Expecto Patronum,Charm,Creates a Patronus,5: OotP,791303,". they tugged and heaved at the door, but it wouldn’t budge, not even when hermione tried her alohomora charm, now what? said ron, these birds … they can’t be here just for decoration,"
63,Expecto Patronum,Charm,Creates a Patronus,7: DH,1125232,". three — two — one — go! he shouted, malfoy raised his wand quickly and bellowed, serpensortia! the end of his wand exploded, Harry watched, aghast, as a long black snake shot"
64,Expecto Patronum,Charm,Creates a Patronus,7: DH,1125590,". what’s going —? Harry pointed his wand hastily at the door of madam pomfrey’s office and muttered, muffliato! so that she would not come run­ning, then he scrambled to the end of his bed for"
65,Expecto Patronum,Charm,Creates a Patronus,7: DH,1125627,"… a death eater moved ahead of snape and raised his wand, pointing it directly at lupin’s back — sectumsempra! shouted snape, but the spell, intended for the death eater’s wand hand, missed and hit"
66,Expecto Patronum,Charm,Creates a Patronus,7: DH,1216191,"… i asked you whether you want me to do that again, said volde­mort softly, answer me! imperio! and Harry felt, for the third time in his life, the sensation that his mind had"
67,Expecto Patronum,Charm,Creates a Patronus,7: DH,1216583,"… okay … Harry had not expected this, but cleared his throat and said loudly, wand aloft, accio horcrux! with a noise like an explosion, something very large and pale erupted out of the dark"
68,Expecto Patronum,Charm,Creates a Patronus,7: DH,1256757,"a bit bigger for you to get the idea, he said, pointing his wand at the spider, engorgio! the spider swelled, it was now larger than a tarantula, aban­doning all pretense, ron pushed"
69,Stupefy,Spell,Knocks out opponent,4: GoF,359615,"a cold, snide voice, and phineas nigellus slid into his portrait, at once, hermione cried : obscuro! a black blindfold appeared over phineas nigellus’s clever, dark eyes, causing him to bump into the"
70,Stupefy,Spell,Knocks out opponent,4: GoF,418874,"a deep, rattling breath, a wave of piercing cold broke over him — expectopatronum! Harry yelled, expectopatronum! ex­pecto — but the classroom and the dementor were dissolving, … Harry was falling again through thick"
71,Stupefy,Spell,Knocks out opponent,4: GoF,511295,"a ghostly bird, then dumble­dore bent over krum again, pointed his wand at him, and mut­tered, rennervate, krum opened his eyes, he looked dazed, when he saw dumb­ledore, he tried to sit"
72,Stupefy,Spell,Knocks out opponent,4: GoF,511660,"a split second, before snape could take even one step toward him, he had raised his wand, expelliarmus! he yelled — except that his wasn’t the only voice that shouted, there was a blast that"
73,Stupefy,Spell,Knocks out opponent,4: GoF,513091,"a stone at it; the spider jerked, scuttled around, and ran at Harry instead, stupefy! impedimenta! stupefy! but it was no use — the spider was either so large, or so magical"
74,Stupefy,Spell,Knocks out opponent,4: GoF,513139,"a terrible scream of fear as a slimy, scabbed hand grasped her chin and forced her face back, expectopatronum! the silver stag soared from the tip of Harry’s wand and leaped toward the dementors, which fell"
75,Stupefy,Spell,Knocks out opponent,4: GoF,513143,"again and the two death eaters had come hurtling inside, with a cry of triumph, both yelled, impedimenta! Harry, hermione, and neville were all knocked backward off their feet, neville was thrown over"
76,Stupefy,Spell,Knocks out opponent,4: GoF,513232,"ah, said moody, another slight smile twisting his lopsided mouth, yes, the last and worst, avadakedavra … the killing curse, he put his hand into the glass jar, and almost as though it"
77,Stupefy,Spell,Knocks out opponent,4: GoF,513316,"air : it was as if hermione had cast a heat haze upon their clearing, salviohexia … protegototalum … repellomuggletum … muffliato … you could get out the tent, Harry, … tent? in the bag!"
78,Stupefy,Spell,Knocks out opponent,4: GoF,527651,"aisle, shot a full body-bind curse at crabbe, which narrowly missed, crabbe wheeled around and screamed, avadakedavra! again, ron leapt out of sight to avoid the jet of green light, the wandless malfoy"
79,Stupefy,Spell,Knocks out opponent,5: OotP,762170,"all divided up obediently; Harry partnered neville as usual, the room was soon full of intermittent cries of impedimenta! people froze for a minute or so, during which their partners would stare aimlessly around the room"
80,Stupefy,Spell,Knocks out opponent,5: OotP,816397,"along a new and darker street he moved, and now his destination was in sight at last, the fidelius charm broken, though they did not know it yet, … and he made less noise than the"
81,Stupefy,Spell,Knocks out opponent,5: OotP,816897,"and fell with a little thud in the grass behind him, sirius let out a bark of laughter, impedimenta! he said, pointing his wand at snape, who was knocked off his feet, halfway through"
82,Stupefy,Spell,Knocks out opponent,5: OotP,817100,"and from inside his jacket pocket he pulled his flowery pink umbrella, hagrid! no! let me! reparo! there was a deafening bang and the sidecar broke away from the bike completely : Harry sped forward"
83,Stupefy,Spell,Knocks out opponent,5: OotP,817216,"and i know spells of such power that you, pathetic little boy, can never hope to compete — stupefy! yelled Harry, he had edged right around to where the goblin stood beaming up at the now"
84,Stupefy,Spell,Knocks out opponent,5: OotP,821665,"and if i stunned him and he’d fallen, he’d have died the same as if i’d used avadakedavra! expelliarmus saved me from voldemort two years ago, Harry added defiantly, lupin was reminding him of the sneering"
85,Stupefy,Spell,Knocks out opponent,5: OotP,824693,"and it was only by using her summoning charm that mrs. weasley managed to find them all, accio! accio! accio! she shouted, and toffees zoomed from all sorts of unlikely places, including the lining"
86,Stupefy,Spell,Knocks out opponent,6: HBP,1030012,"and were getting closer, … expectopatronum! Harry yelled, trying to blot the screaming from his ears, expectopatronum! a thin wisp of silver escaped his wand and hovered like mist be­fore him, at the same"
87,Stupefy,Spell,Knocks out opponent,7: DH,1062291,"and yelled as Harry thrust the sword through the handle of hufflepuff’s cup, hooking it onto the blade, impervius! screeched hermione in an attempt to protect herself, ron, and the goblins from the burning metal"
88,Stupefy,Spell,Knocks out opponent,7: DH,1095585,"and you think you’ll get your girl back like this? i swear … i swear … potter’s upstairs! homenumrevelio, said the voice at the foot of the stairs, Harry heard hermione gasp, and he had"
89,Stupefy,Spell,Knocks out opponent,7: DH,1125025,"anger now, you’ve got it, potter, and you will give it to me — accio prophecy! accio prophecy! Harry laughed again because he knew it would incense her, the pain building in his head"
90,Stupefy,Spell,Knocks out opponent,7: DH,1125112,"any farther, i think we’d better check, whispered hermione, and she raised her wand and said, homenumrevelio, nothing happened, well, you’ve just had a big shock, said ron kindly, what was"
91,Stupefy,Spell,Knocks out opponent,7: DH,1186625,"are ready, we will start again, … he raised his wand, one — two — three — legilimens! a hundred dementors were swooping toward Harry across the lake in the grounds, … he screwed up"
92,Stupefy,Spell,Knocks out opponent,7: DH,1186630,"armchair and wrested the three wands from draco’s grip, pointed all of them at greyback, and yelled, stupefy! the werewolf was lifted off his feet by the triple spell, flew up to the ceiling,"
93,Stupefy,Spell,Knocks out opponent,7: DH,1190141,"around at the dark, slimy walls, all three of them turned to stare into the darkness ahead, lumos! Harry muttered to his wand and it lit again, c’mon, he said to ron and lockhart"
94,Stupefy,Spell,Knocks out opponent,7: DH,1190598,"around the headstone, facing voldemort, voldemort was ready, as Harry shouted, expelliarmus! volde­mort cried, avadakedavra! a jet of green light issued from voldemort’s wand just as a jet of red light blasted from"
95,Stupefy,Spell,Knocks out opponent,7: DH,1211695,"as a school prefect — but Harry had lost his tem­per, he pulled out his wand and shouted, expelliarmus! and just as snape had disarmed lockhart, so malfoy found the diary shoot­ing out of his hand"
96,Expelliarmus,Charm,Disarms your opponent,2: CoS,147120,"as he followed fred inside, interesting effect, said george, looking down at crabbe, who used the furnunculus curse? me, said Harry, odd, said george lightly, i used jelly-legs, looks as"
97,Expelliarmus,Charm,Disarms your opponent,2: CoS,161634,"as she peered around the fountain for him, she reacted so fast he barely had time to duck, protego! the jet of red light, his own stunning spell, bounced back at him, Harry scrambled"
98,Expelliarmus,Charm,Disarms your opponent,2: CoS,179052,"as the spells hit it, gripping his wand more tightly, he dashed out from behind the angel — impedimenta! he bellowed, pointing his wand wildly over his shoulder at the death eaters running at him,"
99,Expelliarmus,Charm,Disarms your opponent,3: PoA,291209,"as though to sweep the patronus aside, no — no — Harry gasped, he’s innocent … expecto — expectopatronum — he could feel them watching him, hear their rattling breath like an evil wind around him,"
100,Expelliarmus,Charm,Disarms your opponent,3: PoA,292661,"aside as the bru­tal-faced death eater, last to leave the tower top, was disappearing through the door, petrificustotalus! the death eater buckled as though hit in the back with some­thing solid and fell to the ground"
101,Expelliarmus,Charm,Disarms your opponent,3: PoA,297969,"at breakfast, we’ve got quidditch tryouts this morning! said ron, and we’re supposed to be practicing that aguamenti charm from flitwick! anyway, explain what? how are we going to tell him we hated his"
102,Expelliarmus,Charm,Disarms your opponent,3: PoA,304191,"at crabbe’s head, it only missed because malfoy pulled him out of the way, it’s that mudblood! avadakedavra! Harry saw hermione dive aside, and his fury that crabbe had aimed to kill wiped all else"
103,Expelliarmus,Charm,Disarms your opponent,4: GoF,513260,"at his heels, then pushed the front door very slowly, his wand raised and at the ready, lumos, dumbledore’s wand tip ignited, casting its light up a narrow hallway, to the left, another"
104,Expelliarmus,Charm,Disarms your opponent,4: GoF,522622,"at it; the spider jerked, scuttled around, and ran at Harry instead, stupefy! impedimenta! stupefy! but it was no use — the spider was either so large, or so magical, that"
105,Expelliarmus,Charm,Disarms your opponent,5: OotP,678300,"at that moment, a wizard in plus-fours appeared out of thin air next to mr. roberts’s front door, obliviate! he said sharply, pointing his wand at mr. roberts, instantly, mr. roberts’s eyes slid out"
106,Expelliarmus,Charm,Disarms your opponent,5: OotP,678470,"at the map, the tiniest speech bubble had appeared next to his figure, the word inside said, dissendium, dissendium! Harry whispered, tapping the stone witch again, at once, the statue’s hump opened"
107,Expelliarmus,Charm,Disarms your opponent,5: OotP,678598,"at­tacker was now bearing down upon Harry and neville : dolohov, his long pale face twisted with glee, tarantallegra! he shouted, his wand pointing at neville, whose legs went immediately into a kind of frenzied"
108,Expelliarmus,Charm,Disarms your opponent,5: OotP,679492,"bag, it might be invisible ink! she whispered, she tapped the diary three times and said, aparecium! nothing happened, undaunted, hermione shoved her hand back into her bag and pulled out what appeared"
109,Expelliarmus,Charm,Disarms your opponent,5: OotP,767049,"bag, picked up his wand, and crept out of the room, on the landing he whispered, lumos, and started to climb the stairs by wandlight, on the second landing was the bedroom in which"
110,Expelliarmus,Charm,Disarms your opponent,5: OotP,817008,"be able to see the cottage at all; he did not know what happened when the subjects of a fidelius charm died, then the little lane along which they were walking curved to the left and the heart"
111,Expelliarmus,Charm,Disarms your opponent,6: HBP,1024441,"be all right, i’m going to go and live with him, expectopatronum! hermione, help me! expectopatronum! expecto — hermione whispered, expecto — expecto — but she couldn’t do it, the dementors were"
112,Expelliarmus,Charm,Disarms your opponent,6: HBP,1024483,"be having a word with them about who they let buy their products, we tried everything, lumos, incendio, said ginny, nothing would penetrate the darkness; all we could do was grope our way out"
113,Expelliarmus,Charm,Disarms your opponent,7: DH,1063259,"been my downfall, … voldemort moved slowly forward and turned to face Harry, he raised his wand, crucio! it was pain beyond anything Harry had ever experienced; his very bones were on fire; his"
114,Expelliarmus,Charm,Disarms your opponent,7: DH,1066463,"bellowing of the crowd around him, but he did not care, not until somebody in the vicinity yelled impedimenta! and only when he was knocked over backward by the force of the spell did he abandon the"
115,Expelliarmus,Charm,Disarms your opponent,7: DH,1066603,"beneath its robes, sucking on the night as it came, stumbling backward, Harry raised his wand, expectopatronum! a silvery wisp of vapor shot from the tip of the wand and the de­mentor slowed, but"
116,Expelliarmus,Charm,Disarms your opponent,7: DH,1111985,"bewildered to react, we’ve got him! yelled the death eater nearest Harry, in an office off — silencio! cried hermione, and the man’s voice was extinguished, he continued to mouth through the hole in"
117,Expelliarmus,Charm,Disarms your opponent,7: DH,1152063,"body — say good-bye to your memories! he raised ron’s spellotaped wand high over his head and yelled, obliviate! the wand exploded with the force of a small bomb, Harry flung his arms over his head"
118,Expelliarmus,Charm,Disarms your opponent,7: DH,1190098,"bonus point …? Harry raised his wand, looked directly at umbridge, and imagined her being sacked, expectopatronum! the silver stag erupted from the end of his wand and cantered the length of the hall,"
119,Expelliarmus,Charm,Disarms your opponent,7: DH,1239163,"book — Harry reached his wand just in time, lockhart had barely raised his, when Harry bellowed, expelliarmus! lockhart was blasted backward, falling over his trunk; his wand flew high into the air;"
120,Expelliarmus,Charm,Disarms your opponent,7: DH,1274384,"brand-new book ( hermione looked scandalized ), he then swapped the covers, tapped each, and said, reparo! there sat the prince’s copy, disguised as a new book, and there sat the fresh copy"
121,Lumos,Spell,Creates light at wand tip,2: CoS,171115,"brightening when he lowered his eyelids, disorienting him, now fear came : her presence had meant safety, lumos! he whispered, and the wand-tip ignited, the imprint of the doe faded away with every blink"
122,Lumos,Spell,Creates light at wand tip,2: CoS,180201,"brightly, toward the door, as many as we can muster; do yours, hermione, expec — expectopatronum, said hermione, nothing happened, it’s the only spell she ever has trouble with, Harry told"
123,Lumos,Spell,Creates light at wand tip,3: PoA,201723,"but merely causing them to jump backward a few paces or wince as the feeble spell whooshed over them, expelliarmus! said neville, and Harry, caught unawares, felt his wand fly out of his hand,"
124,Lumos,Spell,Creates light at wand tip,3: PoA,249025,"but ron had already pointed his wand at the tank, honest, Harry, they’re brains — look — accio brain! the scene seemed momentarily frozen, Harry, ginny, and neville and each of the death"
125,Lumos,Spell,Creates light at wand tip,3: PoA,267291,"but this was a mis­take; gasping for breath, malfoy pointed his wand at Harry’s knees, choked, tarantallegra! and the next second Harry’s legs began to jerk around out of his control in a kind of"
126,Lumos,Spell,Creates light at wand tip,3: PoA,289991,"cling to its back, expecting to be shaken off at any moment; then he heard hermione yelling, defodio! she was helping the dragon enlarge the passageway, carving out the ceiling as it struggled upward toward"
127,Lumos,Spell,Creates light at wand tip,4: GoF,357028,"cloak, pointed it at the old goblin, and whispered, for the first time in his life, imperio! a curious sensation shot down Harry’s arm, a feeling of tingling warmth that seemed to flow from"
128,Lumos,Spell,Creates light at wand tip,4: GoF,469197,"clutching a wand rise on the end of his own arm … heard the high, cold voice say, crucio! the man on the floor let out a scream of pain, attempted to stand but fell back"
129,Lumos,Spell,Creates light at wand tip,4: GoF,490939,"could just keep the rain off our faces it would really help visibility — all to­gether, come on — impervius! okay, let’s go, they all stowed their wands back in the inside pockets of their robes"
130,Lumos,Spell,Creates light at wand tip,4: GoF,509915,"count of three, then — one, two, three — the room was suddenly full of shouts of expelliarmus! : wands flew in all directions, missed spells hit books on shelves and sent them flying into"
131,Lumos,Spell,Creates light at wand tip,5: OotP,551082,"course, you-know-who wasn’t an easy person to hide from, dumble­dore told them that their best chance was the fidelius charm, how does that work? said madam rosmerta, breathless with interest, professor flitwick cleared his"
